supplier,product_name,category,price_gbp,unit,description,source_postcode,provenance_category,allergens_best_guess,photo,needs_fix
Luke Evans Bakery,White Baps,Bread,1.42,pack of 4,"Our white baps are proof that simple things done properly never go out of style. Fluffy and golden, they're crafted with the same slow, careful methods we've always used – a versatile everyday roll that feels right at home at breakfast, lunch or supper.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,White Tennis Rolls,Bread,1.68,pack of 6,"There's a reason these soft, golden rolls have graced Derbyshire tea tables for generations. Our Tennis Rolls are baked slowly to achieve their tender crumb, made with simple ingredients and an instinctive feel for the dough passed down through our family since 1804. Spread with butter, topped with jam or filled with something savoury they taste like home.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,White Farmhouse Ovals,Bread,1.84,,"These oval rolls take their cue from the farmhouse loaves we've baked for generations. With their soft, tender crumb and light crust, they're a versatile choice, perfect for soups, cheese boards and ploughman's lunches.",DE55 4AS,own produce,Gluten (wheat),,UNIT MISSING — confirm pack size with Helen
Luke Evans Bakery,Cheesy Farmhouse Ovals,Bread,1.79,pack of 2,"A nostalgic favourite, our cheesy oval is a soft roll topped with cheese. It's a simple bake that adds a little bit extra for dipping in soup or even warming up.",DE55 4AS,own produce,Gluten (wheat); Milk (cheese),,
Luke Evans Bakery,Wholemeal Baps,Bread,1.73,pack of 4,"Soft and slightly nutty, our wholemeal baps bring a touch of heritage and health to the table. Baked with the same care as all our bread, they're a perfect match for savoury fillings or a pat of butter.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,Wholemeal Tennis Rolls,Bread,2.05,pack of 6,"Nutty, wholesome and full of flavour, our wholemeal tennis rolls are baked with stoneground flour for a soft yet substantial bite. They carry with them a sense of tradition and goodness – proof that simple food can be deeply satisfying.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,Country Grain Rolls,Bread,1.8,pack of 4,"Nutty, seedy and wholesome, these country grain baps are a baker's nod to Derbyshire's farming heritage. Best enjoyed with local cheese or a ploughman's lunch.",DE55 4AS,own produce,Gluten (wheat); Sesame?,,
Luke Evans Bakery,Sliced White Bobby's Foot,Bread,1.84,400g loaf,"The distinctive shape and heritage of our Bobby's Foot loaf, prepared in a convenient sliced version. Soft, light and full of the character that has made it a local favourite for generations, it's ready for everything from quick breakfasts to packed lunches. Tradition meets practicality in every slice.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,Sliced Wholemeal Bobby's Foot,Bread,2.1,400g loaf,"The character of our traditional Bobby's Foot loaf, reimagined in wholemeal and prepared in ready-sliced form. With its distinctive shape and wholesome, nutty flavour, it combines the history of Derbyshire baking with the ease of modern life. A local favourite, full of heritage and heart.",DE55 4AS,own produce,Gluten (wheat),,
Luke Evans Bakery,White Sliced Farmhouse,Bread,1.84,400g loaf,,DE55 4AS,own produce,Gluten (wheat),,"DESCRIPTION WRONG — current copy is Bobby's Foot, confirm with Helen"
